country_of_origin,accepted_inital_applications,accepted_renewals,accepted_total,approved_inital_applications,approved_renewals,approved_total
Mexico,"689,029","689,235","1,378,264","618,342","622,170","1,240,512"
El Salvador,"33,661","33,787","67,448","28,371","30,262","58,633"
Guatemala,"24,247","21,837","46,084","19,792","19,466","39,258"
Honduras,"22,114","21,107","43,221","18,262","18,526","36,788"
Peru,"9,721","11,061","20,782","9,066","10,245","19,311"
South Korea,"7,813","11,038","18,851","7,250","10,375","17,625"
Brazil,"8,447","8,251","16,698","7,361","7,542","14,903"
Ecuador,"7,649","7,787","15,436","6,696","7,037","13,733"
Colombia,"7,217","7,776","14,993","6,591","7,100","13,691"
Philippines,"5,055","5,774","10,829","4,655","5,444","10,099"
Argentina,"5,180","5,112","10,292","4,774","4,723","9,497"
India,"3,741","4,140","7,881","3,182","3,846","7,028"
Jamaica,"4,375","3,581","7,956","3,435","3,192","6,627"
Venezuela,"3,441","3,523","6,964","3,099","3,240","6,339"
Dominican Republic,"3,744","3,050","6,794","3,115","2,722","5,837"
Uruguay,"2,556","2,419","4,975","2,361","2,201","4,562"
Unknown,"2,589","2,535","5,124","1,960","2,238","4,198"
Bolivia,"2,202","2,469","4,671","2,062","2,246","4,308"
Costa Rica,"2,262","2,387","4,649","2,047","2,169","4,216"
Tobago,"2,440","1,707","4,147","2,096","1,691","3,787"
Poland,"1,951","1,997","3,948","1,782","1,827","3,609"
Chile,"1,874","2,009","3,883","1,736","1,854","3,590"
Pakistan,"1,927","1,975","3,902","1,685","1,791","3,476"
Nicaragua,"1,860","1,730","3,590","1,576","1,565","3,141"
Guyana,"1,467","1,462","2,929","1,266","1,347","2,613"
